gene	neglog10p
ITGA8	12.522878745280336
TBC1D5	12.221848749616356
MAP4K4	12.096910013008056
LINC01012	12.045757490560677
CASC16	12.0
CAMK2D	12.0
BAG3	11.69897000433602
BCKDK	11.69897000433602
KLHL7	11.69897000433602
HYCC1	11.69897000433602
SV2C	11.522878745280336
PARP9	11.522878745280336
DGKQ	11.522878745280336
AS2	11.522878745280336
RAB25	11.397940008672036
LAMTOR2	11.397940008672036
DLG2	11.30102999566398
RBMS3	11.221848749616356
RSL24D1P1	11.221848749616356
GPR89P	11.221848749616356
481P	11.221848749616356
FCGR2A	11.221848749616356
GXYLT1	11.154901959985745
RIMS1	11.154901959985745
66P	11.154901959985745
RNU4	11.154901959985745
LINC02400	11.154901959985745
KPNA1	11.0
COMMD1	11.0
FAM171A2	11.0
RNF141	11.0
MIR4485	11.0
LDLRAD4	10.69897000433602
PCGF3	10.69897000433602
CLCN3	10.69897000433602
TIAL1	10.522878745280336
RAD1P1	10.522878745280336
SYT17	10.522878745280336
LZTS3	10.522878745280336
SLC18B1	10.522878745280336
DRA	10.522878745280336
LINC02034	10.522878745280336
TSBP1	10.522878745280336
TPRA1	10.522878745280336
DDRGK1	10.522878745280336
DYRK1A	10.522878745280336
SPATA6	10.397940008672036
SLC44A4	10.397940008672036
CDC42BPB	10.397940008672036
EHMT2	10.397940008672036
FBRSL1	10.30102999566398
GALNT9	10.30102999566398
MED12L	10.30102999566398
835P	10.221848749616356
PDLIM2	10.221848749616356
GPR65	10.221848749616356
PKP2	10.154901959985745
FGD4	10.096910013008056
LCORL	10.096910013008056
DNM1L	10.096910013008056
FMNL1	10.045757490560677
LINC00326	10.0
HMGB1P13	10.0
IP6K2	10.0
PHB1P21	10.0
KTN1	9.69897000433602
CARS2	9.69897000433602
DCST1	9.69897000433602
BRIP1	9.69897000433602
RPL13AP3	9.69897000433602
LINC01709	9.397940008672036
LINC01307	9.397940008672036
SPPL2B	9.397940008672036
MED13	9.30102999566398
CC2D2A	9.30102999566398
SPTSSB	9.30102999566398
UBTF	9.221848749616356
ATXN7L3	9.221848749616356
ITGA2B	9.154901959985745
IT1	9.096910013008056
CD19	9.096910013008056
MTCO1P48	9.096910013008056
RABEP2	9.096910013008056
BGLAP	9.096910013008056
PMF1	9.096910013008056
TEKT4	9.096910013008056
SYT4	9.045757490560677
RNA5SP455	9.045757490560677
LINC01147	9.045757490560677
CYCSP42	9.0
LINC02920	9.0
MBNL2	9.0
UBAP2	9.0
HEATR6	9.0
DNASE1L1	9.0
GBF1	9.0
RPL10	9.0
NOD2	9.0
LINC00456	9.0
RETREG3	9.0
RN7SKP10	8.698970004336019
RPS6KL1	8.698970004336019
NECTIN2	8.698970004336019
MIPOL1	8.698970004336019
LNCOB1	8.698970004336019
CCN6	8.698970004336019
VN1R10P	8.698970004336019
VAMP4	8.698970004336019
LINC02527	8.698970004336019
PAM	8.698970004336019
OR5AZ1P	8.698970004336019
OR5BD1P	8.698970004336019
KNTC1	8.698970004336019
ZNF204P	8.698970004336019
IRS2	8.698970004336019
HCAR2	8.698970004336019
FASN	8.522878745280337
DNAH17	8.522878745280337
LINC02240	8.522878745280337
ZNF608	8.522878745280337
PITPNM2	8.522878745280337
MTF2	8.522878745280337
PIK3CA	8.522878745280337
NOL4	8.397940008672037
MYLK2	8.397940008672037
METTL13	8.397940008672037
ASXL3	8.397940008672037
FCGR3B	8.301029995663981
LINC02450	8.301029995663981
FCGR2B	8.301029995663981
BCL9	8.221848749616356
TXNDC15	8.154901959985743
C5ORF24	8.154901959985743
CRLS1	8.045757490560675
CD83P1	8.0
CAB39L	8.0
GPM6B	8.0
SMAD4	8.0
471P	8.0
LAMP3	8.0
SRSF10P1	8.0
KCNIP3	8.0
KCNS3	8.0
STX1B	8.0
CCDC85A	8.0
CHRNB1	8.0
RABGEF1P1	8.0
PLPP4	8.0
BIN3	8.0
CYRIB	7.698970004336019
KPNA3	7.698970004336019
WDR41	7.698970004336019
TRIM40	7.698970004336019
RILPL2	7.522878745280337
USP8	7.522878745280337
USP50	7.522878745280337
ITIH1	7.522878745280337
SCN2A	7.522878745280337
BICD1	7.397940008672037
SLC38A1	7.397940008672037
RPL13AP21	7.397940008672037
EFNA3	7.301029995663981
SLC50A1	7.301029995663981
ZNF322	7.301029995663981
EFNA4	7.301029995663981
GUSBP2	7.301029995663981
LINC00511	7.221848749616356
PPP6R2	7.221848749616356
SREBF1	7.221848749616356
PLEKHM1	7.221848749616356
CA8	7.221848749616356
WBP1L	7.154901959985743
NAGLU	7.154901959985743
HSD17B1P1	7.154901959985743
CYP17A1	7.154901959985743
AGAP1	7.154901959985743
SLC39A8	7.154901959985743
DDX46	7.096910013008056
SHROOM3	7.096910013008056
TRPM2	7.045757490560675
PIGL	7.0
ELMO1	7.0
ING1	7.0
RTL9	7.0
LINC02950	7.0
NPM1P18	7.0
ZSCAN16	6.698970004336019
RFX4	6.698970004336019
ZNF165	6.698970004336019
LARP7P4	6.698970004336019
GALNT17	6.698970004336019
TMC3	6.698970004336019
MLX	6.698970004336019
SYBU	6.698970004336019
CCDC82	6.698970004336019
MAD1L1	6.698970004336019
