gene	log2fc	significant
TBCD	-0.1361	False
MAPK9	-0.1361	False
SYT1	-0.1361	False
BSN	-0.1361	False
TUBB2B	-0.1361	False
TXNDC5	-0.1361	False
ALDH4A1	-0.1361	False
FKBP4	-0.1361	False
NDUFS4	-0.1361	False
BCAS3	-0.1361	False
PI4KA	-0.1361	False
RPS7	-0.1361	False
TARS	-0.1361	False
PIGS	-0.1361	False
OAT	-0.1361	True
OGDH	-0.1361	True
UBE2M	0.1243	False
FAHD2A	0.1243	False
UBE2L3	0.1243	False
MBP	0.1243	False
PEBP1	0.1243	True
PEA15	0.1243	False
MTAP	0.1243	False
MAT2A	0.1243	False
KBTBD11	0.1243	False
HSPB1	0.1243	False
ABI2	0.1243	False
ACSBG1	0.1243	False
RANBP1	0.1243	False
DCXR	0.1243	False
CDK18	0.1243	False
DIP2A	0.1243	False
HNRNPF	0.1243	False
CRK	0.1243	False
SH3BGRL	0.1243	False
CORO1C	0.1243	False
CCDC127	0.1243	False
CCDC22	0.1243	False
CARKD	0.1243	False
CASK	0.1243	False
PLCD1	0.1243	False
PKM2	0.1243	False
CAPN1	0.1243	False
LGI1	0.1243	False
NDUFAB1	-0.1203	False
UBR4	-0.1203	False
ATP5I	-0.1203	False
TECR	-0.1203	False
TIMM8A	-0.1203	False
ATP1B2	-0.1203	False
ATAD3A	-0.1203	False
EIF4A2	-0.1203	False
PEX11B	-0.1203	False
MT2A	-0.1203	False
EEF2	-0.1203	False
MTX2	-0.1203	False
EIF4A1	-0.1203	False
UCHL3	-0.1203	False
NDUFB1	-0.1203	False
AP3D1	-0.1203	False
APM2	-0.1203	False
PDYN	-0.1203	False
UBQLN1	-0.1203	False
RPS12	-0.1203	False
PA2G4	-0.1203	False
RPL7A	-0.1203	False
C21ORF33	-0.1203	False
LAMP5	-0.1203	False
KIF21A	-0.1203	False
CAB39	-0.1203	False
SPTB	-0.1203	False
IRGQ	-0.1203	False
C12ORF51	-0.1203	False
C14ORF159	-0.1203	False
LRP1	-0.1203	False
PLEKHB1	-0.1203	False
SYNGR3	-0.1203	False
ATPIF1	-0.1203	False
PRKCD	-0.1203	False
CD47	-0.1203	False
IDH2	-0.1203	False
SND1	-0.1203	False
HUWE1	-0.1203	False
PRAF2	-0.1203	False
SCG2	-0.1203	False
GANAB	-0.1203	False
IMMT	-0.1203	False
PPP6R2	-0.1203	False
HSP90AB1	-0.1203	False
CLTB	-0.1203	False
SLC25A4	-0.1203	False
DMXL2	-0.1203	False
HSPA4L	-0.1203	False
HSDL1	-0.1203	False
CTBP1	-0.1203	False
CLU	-0.1203	False
COPA	-0.1203	False
SLC25A1	-0.1203	False
GNAZ	-0.1203	False
GNB1	-0.1203	False
RAB4B	-0.1203	False
SH3GLB2	-0.1203	False
SCRN1	-0.1203	False
RAB7A	-0.1203	False
VAPB	-0.1203	False
USP7	-0.1203	False
ADAR	-0.1203	False
WDR7	-0.1203	False
ACOT9	-0.1203	False
ACSL1	-0.1203	False
ENO1	0.111	False
EPB41L2	0.111	False
GRHPR	0.111	False
SEPT4	0.111	False
GSTM2	0.111	False
GPM6B	0.111	True
CUTA	0.111	False
CTNNA1	0.111	False
NADKD1	0.111	False
PDCD6	0.111	False
NCAM1	0.111	False
SH3KBP1	0.111	False
CLIC4	0.111	False
GLOD4	0.111	False
G6PD	0.111	False
PDIA6	0.111	False
EIF5A	0.111	False
DLG2	0.111	False
ADD1	0.111	False
DYNC1LI2	0.111	False
ATP6V1G2	0.111	False
SRP14	0.111	False
CAPN2	0.111	False
PFKP	0.111	False
PRKAA2	0.111	False
GCLC	0.111	False
GAPDH	0.111	False
HSPA12B	0.111	False
VCL	0.111	False
TBC1D24	0.111	False
SUGT1	0.111	False
XRCC6	0.111	False
OXSR1	0.111	False
CSNK2A1	-0.1047	False
MT-CO2	-0.1047	False
TRIM3	-0.1047	False
CYCS	-0.1047	False
RAP1GDS1	-0.1047	False
SLC25A25	-0.1047	False
APMAP	-0.1047	False
PDK3	-0.1047	False
SLC25A5	-0.1047	False
SLC25A3	-0.1047	False
PSMD7	-0.1047	False
NMT1	-0.1047	False
HIBCH	-0.1047	False
PCLO	-0.1047	False
SLC25A10	-0.1047	False
AP2S1	-0.1047	False
ANO3	-0.1047	False
TUBB6	-0.1047	False
RAB15	-0.1047	False
NDUFB4	-0.1047	False
NDUFB5	-0.1047	False
RAB3A	-0.1047	False
PARF	-0.1047	False
RPL23A	-0.1047	False
DDHD2	-0.1047	False
FDX1L	-0.1047	False
VPS35	-0.1047	False
PRODH	-0.1047	False
CLTC	-0.1047	False
METAP2	-0.1047	False
MGLL	-0.1047	False
TIMM44	-0.1047	False
ME2	-0.1047	False
ARMC10	-0.1047	False
DPP7	-0.1047	False
SUCLA2	-0.1047	False
STX12	-0.1047	False
STUB1	-0.1047	False
STRAP	-0.1047	False
STOM	-0.1047	False
LCP1	-0.1047	False
DYNC1I1	-0.1047	False
ATP8A1	-0.1047	False
ECH1	-0.1047	False
NDUFS6	-0.1047	False
VBP1	-0.1047	False
GCSH	-0.1047	False
ACAT2	-0.1047	False
ACOT7	-0.1047	False
ACSL6	-0.1047	False
USP5	-0.1047	False
DYNC1LI1	-0.1047	False
RRAS2	-0.1047	False
OSBPL8	-0.1047	False
ATP5F1	-0.1047	False
MAP3K5	-0.1047	False
ATP5J2	-0.1047	False
MARK1	-0.1047	False
BCR	-0.1047	False
PRDX4	-0.1047	False
EXOC2	-0.1047	False
RAB8B	-0.1047	False
USMG5	-0.1047	False
CRKL	-0.1047	False
TOLLIP	-0.1047	False
RAB2B	-0.1047	False
ATP1A1	-0.1047	False
IPO7	-0.1047	False
HBB	0.0976	False
NDRG4	0.0976	False
C1ORF95	0.0976	False
DTD1	0.0976	False
STAT1	0.0976	False
LRRC47	0.0976	False
RNPEP	0.0976	False
EGFR	0.0976	False
IDH1	0.0976	False
EFHD2	0.0976	False
G3BP1	0.0976	False
SLC25A23	0.0976	False
DHX9	0.0976	False
PTGES2	0.0976	False
PRRT2	0.0976	False
CTNND2	0.0976	False
PARP1	0.0976	False
PAK2	0.0976	False
PTPN11	0.0976	False
GLTP	0.0976	False
PALM2	0.0976	False
PARK7	0.0976	False
GNA11	0.0976	False
NUDT5	0.0976	False
VGF	0.0976	False
ADAP1	0.0976	False
RHOA	0.0976	False
ELMO1	0.0976	False
TAGLN2	0.0976	False
PPAP2B	0.0976	False
ST13	0.0976	False
KLC2	0.0976	False
PPT1	0.0976	False
MPST	0.0976	False
PGAM1	0.0976	False
SBF1	0.0976	False
PRPF8	0.0976	False
CD59	0.0976	False
SNX2	0.0976	False
MPP2	-0.0893	False
MINK1	-0.0893	False
TMEM30A	-0.0893	False
AP2M1	-0.0893	False
COX7A2	-0.0893	False
AP1B1	-0.0893	False
C2CD2L	-0.0893	False
SYNE1	-0.0893	False
PLXNA1	-0.0893	False
LONP1	-0.0893	False
MAP1A	-0.0893	False
ATP5H	-0.0893	False
ATP5O	-0.0893	False
SPTBN4	-0.0893	False
L1CAM	-0.0893	False
LPHN1	-0.0893	False
CRMP1	-0.0893	False
SKP1	-0.0893	False
RAB1B	-0.0893	False
TUBB	-0.0893	False
RAB4A	-0.0893	False
GOT2	-0.0893	False
NDUFB10	-0.0893	False
AMPH	-0.0893	False
RPS24	-0.0893	False
EML2	-0.0893	False
ABHD10	-0.0893	False
VPS45	-0.0893	False
SDHA	-0.0893	False
RAC3	-0.0893	False
DBN1	-0.0893	False
GNAI1	-0.0893	False
FN3KRP	-0.0893	False
PC	-0.0893	False
CNTNAP1	-0.0893	False
CTSD	-0.0893	False
TUBB4A	-0.0893	False
COPG1	-0.0893	False
SLC25A13	-0.0893	False
HNRNPA3	-0.0893	False
HPCA	-0.0893	False
HNRNPH2	-0.0893	False
GLRX5	-0.0893	False
EIF3B	-0.0893	False
SLC2A3	-0.0893	False
DLST	-0.0893	False
RAP2C	-0.0893	False
PRKAG2	-0.0893	False
NUDCD3	-0.0893	False
NDUFV2	-0.0893	False
NDUFS1	-0.0893	False
UQCRC1	-0.0893	False
DYNLL2	-0.0893	False
GDA	-0.0893	False
LYRM4	-0.0893	False
WBP2	-0.0893	False
ALB	-0.0893	False
USP9X	-0.0893	False
SULT4A1	-0.0893	False
MATR3	-0.0893	False
PPM1F	-0.0893	False
PPP5C	-0.0893	False
INPP5A	-0.0893	False
STOML2	-0.0893	False
IVD	-0.0893	False
ATL1	-0.0893	False
SCG5	-0.0893	False
SACM1L	-0.0893	False
GARS	-0.0893	False
DOCK4	-0.0893	False
HSP90B1	-0.0893	False
PEPD	-0.0893	False
ITFG1	-0.0893	False
ASAH1	-0.0893	False
ENOPH1	0.0841	False
FDPS	0.0841	False
FABP3	0.0841	False
RAB6A	0.0841	False
RAB12	0.0841	False
PYGB	0.0841	False
APPL1	0.0841	False
FLAD1	0.0841	False
PTPRF	0.0841	False
ANXA7	0.0841	False
COMT	0.0841	False
HBD	0.0841	False
HBA1	0.0841	False
HGS	0.0841	False
SEMA4D	0.0841	False
SEC14L2	0.0841	False
NEFM	0.0841	False
GMPR2	0.0841	False
TXN	0.0841	False
TRIM2	0.0841	False
DDX39B	0.0841	False
GALC	0.0841	False
STK39	0.0841	False
CAMK2G	0.0841	False
PGM1	0.0841	False
ATG3	0.0841	False
RBBP9	0.0841	False
IGHG2	0.0841	False
DPYSL2	0.0841	False
PRCP	0.0841	False
TRIM25	0.0841	False
SCAMP1	0.0841	False
LGALS1	0.0841	False
POR	0.0841	False
PPA2	0.0841	False
EIF5B	0.0841	False
VAT1	0.0841	False
NUDT16	0.0841	False
WDR47	-0.074	False
NDUFS7	-0.074	False
OTUB1	-0.074	False
UQCRQ	-0.074	False
AGL	-0.074	False
AFG3L2	-0.074	False
RGS7	-0.074	False
RHEB	-0.074	False
RUFY3	-0.074	False
RTN3	-0.074	False
LGALSL	-0.074	False
RRAGC	-0.074	False
LRRC8A	-0.074	False
PLCB1	-0.074	False
ATP6V1F	-0.074	False
BASP1	-0.074	False
SYT5	-0.074	False
ATP6V1C1	-0.074	False
BRP44	-0.074	False
BRK1	-0.074	False
SUCLG1	-0.074	False
CADM2	-0.074	False
STK32C	-0.074	False
MAPRE2	-0.074	False
ATP5L	-0.074	False
MACROD2	-0.074	False
NUMBL	-0.074	False
AK3	-0.074	False
YWHAZ	-0.074	False
EXOC8	-0.074	False
DBT	-0.074	False
PLXNA4	-0.074	False
PPME1	-0.074	False
PPIB	-0.074	False
MDH2	-0.074	False
ARRB1	-0.074	False
INF2	-0.074	False
ATP1B1	-0.074	False
CALB1	-0.074	False
PHB	-0.074	False
CAMKK1	-0.074	False
SRSF1	-0.074	False
SCAMP3	-0.074	False
CCT2	-0.074	False
SNRNP200	-0.074	False
IARS2	-0.074	False
ARHGDIB	-0.074	False
IAH1	-0.074	False
HTT	-0.074	False
HSPA9	-0.074	False
TRAP1	-0.074	False
ARL6IP5	-0.074	False
TLN2	-0.074	False
MT1F	-0.074	False
SOD2	-0.074	False
CAPZA1	-0.074	False
CASKIN1	-0.074	False
KCMF1	-0.074	False
DLG4	-0.074	False
FH	-0.074	False
CHDH	-0.074	False
CDK5	-0.074	False
DSTN	-0.074	False
EIF5	-0.074	False
EHD1	-0.074	False
FIS1	-0.074	False
DLD	-0.074	False
CCT5	-0.074	False
CRAT	-0.074	False
NCDN	-0.074	False
CRYZ	-0.074	False
SLC12A2	-0.074	False
RAB35	-0.074	False
RAB22A	-0.074	False
APOE	-0.074	False
NAPA	-0.074	False
NCOA7	-0.074	False
NDUFA11	-0.074	False
HEATR7A	-0.074	False
CNTNAP2	-0.074	False
TUBA4A	-0.074	False
AP2A2	-0.074	False
MYADM	-0.074	False
MYH11	-0.074	False
TPP2	-0.074	False
PSMC5	-0.074	False
PSMD3	-0.074	False
SLC25A18	-0.074	False
HRAS	-0.074	False
DDX3X	-0.074	False
NNT	-0.074	False
NDUFB8	-0.074	False
GPHN	-0.074	False
RAB5A	-0.074	False
SEPT11	-0.074	False
WARS	-0.074	False
SH3GL2	-0.074	False
NDUFA9	-0.074	False
CYB5R1	-0.074	False
NDUFB11	-0.074	False
SFXN1	-0.074	False
PLIN3	0.0704	False
OSTF1	0.0704	False
MAPK1	0.0704	False
RRAS	0.0704	False
BAIAP2	0.0704	False
MAT2B	0.0704	False
PHYHIP	0.0704	False
PHKB	0.0704	False
MAP2K1	0.0704	False
TCEB1	0.0704	False
TESC	0.0704	False
HSDL2	0.0704	False
PHYHIPL	0.0704	False
PPP1R21	0.0704	False
CALB2	0.0704	False
CAMK4	0.0704	False
CAMK1D	0.0704	False
ARPP21	0.0704	False
ATCAY	0.0704	False
ARPC3	0.0704	False
ILVBL	0.0704	False
DKK3	0.0704	False
ARFGEF3	0.0704	False
S100A16	0.0704	False
ARPC1A	0.0704	False
SOD1	0.0704	False
PFN1	0.0704	False
CPQ	0.0704	False
HINT1	0.0704	False
MTMR2	0.0704	False
CSE1L	0.0704	False
NAP1L1	0.0704	False
PDCD5	0.0704	False
APOL2	0.0704	False
APOA1	0.0704	False
HADHB	0.0704	False
HADHA	0.0704	False
DCTN4	0.0704	False
SEPT3	0.0704	False
GNPDA1	0.0704	False
GSR	0.0704	False
CYB5R2	0.0704	False
SEPT9	0.0704	False
SEPT8	0.0704	False
UBA6	0.0704	False
RAD23B	0.0704	False
RAP1B	0.0704	False
DCLK1	0.0704	False
DCTN2	0.0704	False
UBQLN2	0.0704	False
NEFL	0.0704	False
VPS13C	0.0704	False
AARS	0.0704	False
HECW2	-0.0589	False
STXBP5	-0.0589	False
GNG7	-0.0589	False
GPM6A	-0.0589	False
PACSIN1	-0.0589	False
USP46	-0.0589	False
UQCRH	-0.0589	False
UQCRC2	-0.0589	False
ADSS	-0.0589	False
OGT	-0.0589	False
PTPRN	-0.0589	False
GTPBP1	-0.0589	False
RAB18	-0.0589	False
PSMD5	-0.0589	False
GPC1	-0.0589	False
