gene	log2fc	pval
C20ORF196	3.0	0.0043365
INHBE	2.75	0.0043799
LOC100131655	-3.26	0.0043841
PLEKHB2	3.12	0.0043847
GNL1	2.87	0.0043949
ZNF804B	3.5	0.0044098
RORA	4.76	0.0044334
CATSPERG	-3.38	0.0044457
KDM6B	3.02	0.0044678
LOC101927450	3.88	0.004468
MGAT4D	4.39	0.004493
CARD8	2.73	0.0045027
CETP	-4.08	0.0045167
PPARA	3.05	0.0045363
PCBP1-AS1	2.65	0.0045472
TTTY14	5.08	0.0045525
PLA2G1B	4.41	0.0045571
PPP1R12C	2.7	0.0045607
TAL2	3.12	0.0045644
STC2	3.38	0.0045704
CASD1	3.11	0.0045846
COL6A6	3.21	0.0046235
RNASE1	-2.72	0.0046389
LOC101929319	2.84	0.0046619
SAP30	2.95	0.0046645
PXN	-2.7	0.0047274
FUCA1	3.22	0.0047468
DPP4	-3.09	0.0047731
TIGD4	2.86	0.004784
TPT1-AS1	3.02	0.0048408
BMS1P20	2.56	0.004846
TTC22	2.98	0.0048513
TFPI	2.58	0.0048531
DSC2	3.31	0.0048558
WAPL	2.77	0.004873
ATRNL1	2.52	0.0048777
IGLJ3	2.53	0.0048856
MAGEB4	3.5	0.0048974
RMDN2	2.55	0.0048983
ARSI	-3.73	0.0049069
PSTK	2.75	0.0049157
UBE2W	2.64	0.0049499
SLC9C2	-3.71	0.0049807
LEMD1	2.8	0.0049843
LOC105376037	3.32	0.0050023
SCTR	3.4	0.0050175
MSH3	2.97	0.0050314
RELB	2.89	0.0050314
PIK3C3	-3.58	0.005034
SLC18A2	-2.74	0.0050389
XIRP1	-2.91	0.0050395
PRO2964	3.32	0.0050659
RREB1	-3.15	0.0050732
CCDC136	3.35	0.0050792
CSMD1	-3.25	0.0050883
PRICKLE1	2.55	0.0050886
TRMT44	3.64	0.0051076
KNDC1	2.54	0.0051196
LOC440346	-3.23	0.0051231
ADGRV1	3.02	0.0051298
KERA	4.11	0.0051341
QTRT2	-3.3	0.0051585
MAGEC2	2.51	0.0051779
UMODL1	3.01	0.0051785
CSPG4	3.09	0.0051884
H2AFX	2.73	0.0052004
KCNIP3	3.59	0.0052012
TOP3A	2.57	0.0052487
TRIM7	2.96	0.0052644
LOC101927760	-3.69	0.0052646
ERICH3	3.54	0.005269
GAREM2	2.46	0.0052798
STK17A	2.48	0.0052826
RBM3	-3.25	0.0052957
LOC101929153	2.64	0.0053023
TEKT1	-2.89	0.0053033
C10ORF113	2.59	0.0053064
ST3GAL6	3.04	0.0053087
STKLD1	3.12	0.0053131
SEMA6B	3.4	0.0053284
UTY	5.25	0.0053323
TRAP1	-2.51	0.0053358
CLYBL	-2.75	0.0053503
CDC42BPG	2.57	0.0053543
LINC00423	2.8	0.0053743
C6ORF52	-3.6	0.005421
LOC100506470	2.53	0.0054265
PLAU	-2.6	0.005431
CCNK	3.22	0.0054497
MYH11	-2.72	0.0054589
FCER1A	2.91	0.0054625
PARD6B	-2.9	0.0054864
FBXL6	-2.98	0.005529
LAMA4	-2.62	0.0055537
KIAA0754	2.93	0.005579
BPY2	3.7	0.0055838
NFKBIL1	2.83	0.0055884
LIN9	3.11	0.0055925
CEP63	3.39	0.005645
MGC27382	-2.91	0.0056832
C1RL-AS1	-2.73	0.0057083
LOC400940	5.09	0.0057303
LINC01192	2.65	0.0057376
AKAP14	3.44	0.0057674
CNPY2	3.04	0.0057692
DZANK1	2.53	0.0057748
RABEPK	-2.56	0.0057798
ZSCAN2	2.43	0.0057834
C9ORF57	2.94	0.0057856
MFGE8	3.35	0.005799
PTGDR2	2.5	0.0058075
DNHD1	3.87	0.0058132
RUNX2	3.21	0.005816
PML	3.59	0.0058304
ALB	2.54	0.0058639
CDK19	-3.77	0.0058873
MARCO	-3.12	0.0059031
RAD51B	3.53	0.0059545
LTBP4	-2.52	0.005959
KCNA2	3.65	0.0059592
CORO1B	2.86	0.0059707
NPPC	3.06	0.0059938
ZNF264	-2.89	0.0060127
CR2	3.98	0.0060163
PLA2G4D	2.75	0.0060233
CADPS	2.58	0.0060502
SLC35F3	2.95	0.006058
LOR	3.11	0.0060871
ALDH16A1	2.7	0.0061113
LRIT1	-2.68	0.0061141
STK26	2.81	0.0061533
LOC105371967	2.77	0.0061944
DTWD1	2.65	0.0061969
SLC1A7	3.15	0.0062034
KMT2D	3.11	0.006209
MAP10	3.61	0.0062504
UBR3	2.44	0.0062617
AURKAIP1	2.59	0.0062764
RPS6KA6	2.43	0.006294
VN1R4	2.48	0.006304
AGAP2-AS1	2.41	0.0063328
FZD1	5.04	0.0063768
FOXD3	-2.74	0.0063901
AGAP2	2.77	0.0063983
LOC286191	-2.72	0.0064013
DCBLD2	2.54	0.0064109
LOC101928767	-2.44	0.0064215
DGKG	3.14	0.0064282
GIT2	2.71	0.0064352
PCGF1	3.02	0.0064356
CSHL1	2.56	0.0064738
LINC00671	2.59	0.0064755
TRPC3	2.7	0.0065055
C8ORF31	-2.91	0.0065061
ATXN3L	-3.27	0.00654
DNAH1	-2.97	0.0065406
RUBCN	-2.49	0.0065498
SIGLEC1	-3.16	0.0065561
FAM126A	3.02	0.0065659
CSMD2-AS1	2.65	0.0065702
GUCY1A2	2.87	0.0065711
RBM48	3.21	0.006574
LOC102724250	3.2	0.0065768
ATP2C2	3.17	0.006594
ARHGEF38	3.09	0.0065982
LOC102723692	2.86	0.0066225
DCT	-2.51	0.0066258
ANOS1	-2.81	0.0066432
