gene	log2fc	pval
RASAL2	-2.36	0.2749392
SAC3D1	0.743	0.2749469
MRPL36	0.604	0.2749706
CTCF	0.654	0.27503
LIN28B	1.69	0.2750724
CMPK2	-0.691	0.2751298
AK1	-0.661	0.2751518
CFH	-1.23	0.2752048
KCNJ5	1.17	0.2752908
ZDHHC9	-0.868	0.2753233
UBE2D1	1.81	0.2753366
OR7E14P	-2.31	0.2753434
DEFB114	2.8	0.2754055
TNIP2	0.591	0.2754148
FLG	1.23	0.2754373
NR1I2	-0.779	0.2754653
NDFIP1	0.612	0.2754948
CLTC	1.39	0.2755102
SLC46A2	2.17	0.2755426
NUDT16P1	1.24	0.2755503
LOC100507506	1.87	0.2756232
C10ORF25	-1.5	0.2756773
MEOX1	0.601	0.2756911
FIBCD1	-1.92	0.2757534
UQCRFS1	0.587	0.2757606
ELOVL5	0.607	0.2757676
RBMS2	-1.2	0.2757927
OFD1	-0.585	0.2758127
LOC100422526	1.26	0.2758343
DEFB108B	2.06	0.275863
TRAPPC1	-0.723	0.2758812
NUDT19	-0.726	0.2759406
BLZF1	-2.13	0.2759463
DAP3	0.592	0.2759569
FOXJ3	0.612	0.2759814
DOPEY1	-0.685	0.2759828
QRFPR	-1.74	0.2760533
CIAO1	-0.667	0.2760616
GPNMB	-0.828	0.2760854
AP2B1	-0.596	0.2762053
HOXD-AS2	-1.83	0.2762502
QPRT	-0.7	0.2762696
NOXO1	1.36	0.2762701
BAG5	0.716	0.2762748
ARL5B	0.599	0.2763114
LINC00299	1.5	0.2763789
LTK	0.952	0.2764679
KCNV1	1.66	0.2764681
ITPR1	2.14	0.2764834
CYTH2	0.675	0.2764854
ZNF276	0.596	0.2766286
LOC105376166	0.665	0.2767022
LINC00926	1.19	0.2767126
HECA	0.587	0.2768274
YIPF5	-0.59	0.2768841
OLFML2B	-1.06	0.2769822
MLLT6	0.804	0.2770082
CHRNA2	2.0	0.2770958
BLOC1S3	-1.04	0.2771126
MRPS14	-0.629	0.2771417
ARHGEF5	-1.95	0.2771631
TAF10	-1.7	0.2772538
GYPC	-0.761	0.2772701
DCHS1	-1.22	0.2773581
LOC101927709	0.714	0.2773884
HYDIN	-2.23	0.2774006
CLMN	0.64	0.2774161
LSMEM1	1.01	0.2774605
SIGLEC10	-1.1	0.2774946
PDCD4	0.637	0.2775296
ZNF781	-0.717	0.2776682
ST7-AS1	-1.76	0.2776863
LRRC34	-0.824	0.2777179
SIM1	-1.09	0.2777308
TRIM67	0.607	0.2777683
MTSS1	-0.807	0.2778596
ATP23	1.11	0.2778913
ZBTB26	-1.08	0.2780493
LGALS9	-0.707	0.2780777
KRT72	1.53	0.2781873
HAS3	0.58	0.278218
AFAP1L1	0.719	0.2782193
ZNF490	-0.592	0.2782347
POU2F1	2.79	0.2782918
IL1B	0.867	0.2783838
AMER2	-0.794	0.2784748
NUP35	-0.666	0.2784762
LINC01410	-0.664	0.2784787
C4ORF32	-1.08	0.2785032
SUSD4	0.607	0.2785164
MYOCD	-1.47	0.2785449
MYO18B	2.76	0.2785898
SBSN	1.02	0.2785986
PCED1A	-0.659	0.2786124
RASSF3	-1.67	0.2786548
TTC9B	2.15	0.2786941
SERPINB5	1.49	0.2786987
ALAS1	0.586	0.2787885
IGSF11	-0.725	0.2788187
TGM2	-0.995	0.278823
SGIP1	-0.571	0.2788593
DIP2C	0.596	0.2789501
HSPB8	-0.643	0.2789668
CLDN1	-0.582	0.2789703
IL1RAP	-2.44	0.2789777
VWA9	-0.803	0.2789888
DKFZP434A062	0.877	0.278993
BMS1P5	0.718	0.2790697
GCNT1P1	-1.33	0.2790806
FBN2	1.82	0.2791155
EPHA5	-0.657	0.2791966
FAM83C	1.94	0.2792734
SMPD3	-0.994	0.2793258
TRO	0.71	0.2794119
LIPJ	-1.66	0.2795342
RTF1	-1.01	0.2795476
SMTNL2	-1.05	0.2797131
PPFIA2	-0.62	0.2797508
PSAT1	0.629	0.2797684
MKNK1-AS1	1.24	0.2797757
MGEA5	-0.967	0.2798443
IL18	-1.28	0.2799711
GBP5	-1.35	0.2799745
LOC102723448	-1.39	0.280034
AP2A2	1.08	0.2800485
IQCF1	0.641	0.2800518
MYH1	2.29	0.2800849
PEX19	-0.655	0.280144
PHACTR4	-0.604	0.2801646
SCN10A	-1.86	0.2801826
GNB3	0.78	0.2802147
NUP50	1.93	0.2803225
LRRN1	0.835	0.2803239
LOC440602	2.07	0.2803269
METTL5	0.717	0.2803313
NUDT3	0.808	0.2804527
C21ORF62-AS1	-0.736	0.2804596
XAGE-4	0.646	0.2804821
DNAJC3-AS1	1.03	0.2805525
ZFHX4-AS1	-0.784	0.2806325
MYT1	0.741	0.280637
FBXW11	0.568	0.2806456
SMIM1	0.604	0.2806824
LINC00266-1	0.873	0.2806937
ECHDC2	-0.618	0.2807184
NAPA-AS1	0.958	0.2807737
TNNI2	0.667	0.2808702
LOC100287877	-0.571	0.2808734
APOH	1.64	0.2810027
NR2F2	0.586	0.2810768
KCNN3	-0.594	0.2811209
PITPNA-AS1	0.697	0.2812028
RNF135	-0.601	0.2812355
R3HCC1	-0.583	0.2812741
PGAM5	0.61	0.2813699
CCDC102B	2.23	0.2813794
XAB2	0.694	0.2813838
MIR663AHG	-2.42	0.2813845
PRDX5	0.628	0.2814172
ZNF175	0.661	0.2814188
TRAF7	1.52	0.2815445
ABL2	-1.5	0.2815684
SLC6A20	1.42	0.2816051
ZBTB33	0.632	0.2816635
RAPGEF6	0.66	0.2816734
ARFGAP3	0.667	0.2817213
SEC61G	0.65	0.281726
GP9	0.746	0.2817321
BORCS8	-2.1	0.2817738
DECR1	-0.62	0.2817797
RAB26	1.31	0.2818047
BCAM	-0.641	0.2818333
YWHAQ	0.573	0.2818385
ACP5	-0.778	0.2818424
TMEM123	-0.85	0.2818712
LOC101927342	1.68	0.2819486
CSNK1D	-0.607	0.2819993
TCL6	-0.904	0.2820591
NBAS	-0.837	0.2820997
GLYAT	0.628	0.2821516
KPNB1	-0.576	0.2821919
CLTA	-0.618	0.2823306
CCDC88C	-1.35	0.2823515
KCNV2	0.702	0.2823986
NECAP2	1.13	0.2824768
ABHD2	0.608	0.282536
ZNF254	0.566	0.2825751
KRT14	-1.32	0.2825846
AGER	-2.69	0.2826
LOC102723847	0.619	0.2826616
HCG4	-0.744	0.2826928
ZNF331	0.564	0.2827642
OR1A1	1.28	0.2828468
MYH9	-0.85	0.2829351
DNAJB13	0.696	0.2829649
LOC101929607	-0.636	0.2829844
HLA-J	-0.896	0.2830182
DUSP6	-0.684	0.2830717
KLHL40	1.74	0.2830843
ABCA13	-2.68	0.2831631
SLFN12	-3.02	0.283209
HOXB-AS1	-0.958	0.2832992
TTLL4	-0.837	0.2833377
PSMB8-AS1	-1.06	0.2833508
TRIM46	-1.53	0.2833663
ZNF19	-1.03	0.2833926
NT5DC4	-2.28	0.2834381
FREM2	1.1	0.2834488
DNAJC19	-0.658	0.2834986
SENP8	0.703	0.2835629
CDCA5	-1.34	0.2835709
PGAP1	0.694	0.2835715
SIGLEC9	-0.76	0.2835752
FXYD3	0.584	0.2836516
C6ORF47	0.613	0.2837236
MOGAT2	1.37	0.2837429
HP11014	-1.77	0.2837983
LINC00587	1.16	0.2838005
CEP295	-2.27	0.2838278
NBPF8	-0.573	0.2838285
FES	0.824	0.2838317
LZTS3	1.22	0.2838614
DDX6	-0.687	0.2839166
PCDHB18P	1.1	0.284009
LRRC2-AS1	1.3	0.2840736
PPM1D	0.818	0.2841087
H1FX-AS1	0.665	0.2841923
KCTD19	0.938	0.2842138
HERC1	1.04	0.2842275
LOC101929089	-0.834	0.2842834
CDK2AP1	0.635	0.28432
ACAD10	-2.15	0.2843351
SLC25A30	0.604	0.2844147
HOXD11	-0.796	0.2844594
BRF1	-1.25	0.2844763
DGCR7	-1.2	0.2844806
LINC00558	1.83	0.2845402
OXGR1	1.92	0.2845623
LINC00963	2.07	0.2846085
LOC105373958	0.817	0.2846106
LMTK3	-1.24	0.2846759
CETN2	-0.572	0.2847133
LOC643201	-0.638	0.2847197
FIG4	-0.6	0.2847551
USP37	0.603	0.2847662
DOCK4	-0.6	0.2848138
PRKCZ	0.705	0.2848597
GLYATL2	-1.65	0.284881
KIAA0087	2.24	0.2849391
TMEM144	-1.11	0.2849476
IDH3G	0.582	0.2849557
SULF2	-0.568	0.2849634
VCPKMT	0.755	0.2849673
CLDN11	-1.7	0.2850244
DBIL5P	1.39	0.2850514
TRIM69	1.41	0.2851323
CA12	0.834	0.2851461
LOC146795	1.92	0.2851685
RTCA	-0.619	0.2852535
WDR24	0.694	0.2852574
CNIH4	-0.766	0.2852602
PPFIBP1	0.73	0.2852678
LOC101930421	-1.73	0.2855348
UNC5B-AS1	-0.643	0.2855553
FAM65C	1.02	0.2856373
LOC646778	0.561	0.2857278
SYCP3	0.955	0.2858331
DMRT1	-1.04	0.2859272
RNF185-AS1	-1.32	0.286
CNOT2	0.606	0.2860196
MUC17	1.65	0.2860544
NOS3	-1.18	0.2860701
LINC01013	0.943	0.2861391
FMO5	-1.29	0.2861482
UTP15	-0.562	0.286166
MFSD8	-0.566	0.2861709
ICA1L	0.569	0.2861919
C3ORF30	1.45	0.2861998
MELK	0.805	0.2862195
GSTM3	0.715	0.2862216
LYPD6	0.795	0.2862354
SLC15A2	0.869	0.2862529
CDSN	1.21	0.2863019
TRIM15	0.697	0.2863227
TMEM261	-0.908	0.2864366
MOB3B	-0.782	0.2865003
FGGY	-2.28	0.2865776
IGFBP1	2.1	0.2866491
MORF4L1	0.575	0.2867055
B3GALT6	-0.562	0.2867633
FAM173B	0.559	0.2868584
ZNF883	-0.619	0.2868895
EIF2AK3	-1.22	0.2869038
GAS7	-0.742	0.2869245
GRM4	1.32	0.2869485
SPATA31E1	0.629	0.2871778
MGST2	-0.562	0.2871825
PCBD2	-0.564	0.2871839
LRRC4B	0.634	0.2872022
MYADM	-0.582	0.2872641
LOC105375240	-2.41	0.2872658
MACF1	0.676	0.2872749
DDB1	-0.702	0.2872798
LOC93429	1.4	0.2872822
CLDN4	0.669	0.2872984
RACGAP1P	2.62	0.2873469
RAET1E	1.52	0.2873508
SOX15	0.819	0.2876325
PRR22	-1.66	0.2876493
PPP2R3B	-1.02	0.2876567
CYP2U1	0.983	0.2876588
CEPT1	0.609	0.2876672
PLEC	-0.704	0.2876674
PIGC	-1.36	0.287693
SLCO2A1	-2.27	0.2877495
GEMIN8	-0.749	0.2877711
SERPINF1	-0.915	0.2877829
TSEN15	-1.28	0.2878423
TIPARP-AS1	-1.41	0.2878593
PIANP	-1.11	0.2879076
WFDC11	1.54	0.2879289
PWWP2A	1.7	0.2880001
LOC105377105	-1.22	0.288003
IFT122	-1.04	0.2880585
FAM30A	-1.99	0.2880836
ABCC2	1.27	0.2880999
MOSPD1	0.591	0.2881011
TRAF5	-1.14	0.2881155
HIST3H3	-1.45	0.2881527
MSC-AS1	2.09	0.2881546
LOC101927346	-0.78	0.2882229
LCE1B	2.18	0.2882266
TMOD2	1.63	0.2883352
C6ORF163	0.57	0.2883534
SALL1	-0.79	0.2883552
LRRC71	0.622	0.2883722
USP35	0.623	0.2884418
TSC22D4	0.904	0.2884651
CLN8	-0.819	0.2884735
CAMK2N1	-0.734	0.2885215
RRM2B	0.609	0.2886508
CDYL2	-1.1	0.2887479
GAPVD1	0.568	0.2887895
BCL2L1	0.584	0.2888292
GAB3	1.53	0.2888351
DDX5	0.597	0.2888435
ENO1-AS1	-1.66	0.2888752
GMCL1	-0.604	0.2888793
ITGA4	-1.11	0.2888887
TBCB	-0.596	0.2889302
ADH5	-0.614	0.2890351
ESPNL	0.631	0.2890634
ATP1A1-AS1	-0.75	0.2890876
SCUBE1	-1.39	0.2890941
TBX10	0.767	0.2891113
ABCF2	0.601	0.2892232
LOC100505774	1.44	0.2892576
FGD4	-0.744	0.2893035
LDLRAD4	-1.14	0.2893104
HSD17B10	-0.577	0.2893311
DLGAP2	0.828	0.2893854
JAK1	-0.916	0.2894552
FGD1	0.697	0.2895237
SDC2	-0.677	0.2895285
SOWAHA	1.1	0.2895666
TNNT3	-1.26	0.2895973
FBXO2	0.558	0.2896278
E2F8	-1.45	0.2896329
HIST1H1C	-0.686	0.2897357
PODXL2	-0.611	0.2897362
MAP7D2	0.813	0.2897368
HMBOX1	0.769	0.2897471
CDADC1	0.607	0.2897473
TMEM115	-0.577	0.2897804
ZNF615	0.66	0.2898254
KCNK15	1.14	0.2898924
TESMIN	2.01	0.2899103
RNF10	-0.603	0.2899818
UBE2G2	-0.701	0.290011
CLEC4A	1.77	0.2900572
HAUS7	0.621	0.2900884
LINC01619	2.02	0.2901747
REV1	0.995	0.2901761
RASIP1	-0.586	0.290178
BTRC	-1.21	0.2901856
DPPA4	1.65	0.2902083
NCOA2	-0.558	0.2902267
STAB1	0.992	0.2902302
LOC399716	-1.68	0.2903231
NMNAT1	-0.832	0.2903753
FNDC3A	-0.71	0.2904085
RAB17	1.51	0.2904672
LGI4	-0.598	0.2905395
LINC00661	1.15	0.2905824
SLC9A9	-0.857	0.2905825
CAMLG	0.566	0.2905967
SNORA65	0.599	0.2906656
ELK3	1.83	0.2907442
TFCP2	-0.726	0.2907596
KCMF1	0.584	0.2908748
MICALL2	0.647	0.2908836
LCTL	0.654	0.2909587
LOC389765	0.716	0.2909617
NUP50-AS1	-1.36	0.2909904
RTKN	-0.941	0.2910275
C3ORF18	0.693	0.2910787
MARCH5	0.579	0.291144
SOCS3	1.42	0.2912162
PLA2G4A	-0.801	0.291221
LRRC36	-1.86	0.2912254
HTRA2	0.556	0.2913564
LOC101927377	-1.31	0.2913749
UBE2J2	0.684	0.291392
RPL34-AS1	-1.74	0.2914096
NREP	2.09	0.2914504
RAD54L	1.53	0.2914666
PI4KA	0.749	0.291499
CDK5RAP2	-0.571	0.2915317
WIPF1	-0.967	0.2915385
TRIM38	-0.892	0.2915409
GM2A	0.658	0.2915993
RPRD2	-0.569	0.291618
C16ORF91	0.677	0.2916851
LOC100505902	0.594	0.2916856
ADGRA1	0.565	0.2917006
TMCO2	1.77	0.2918283
KRT6A	-1.02	0.2918439
GRK2	0.83	0.2918483
RNASE3	-1.95	0.2918881
EIF2B2	0.608	0.291905
ADRA1D	1.74	0.2919767
FARS2	-0.552	0.2920039
LYRM7	-0.648	0.2920751
DNAJC6	0.603	0.2921043
IFNW1	1.08	0.2921373
IL17RA	-0.857	0.2921895
ST18	0.615	0.2922176
NIFK	2.7	0.2922273
PACRG-AS1	-1.45	0.2922352
PHACTR1	1.06	0.2923035
LINC00639	-1.3	0.2923429
AGBL1	2.31	0.2923573
PDK2	-0.645	0.2923817
SIN3A	-0.618	0.292386
PPP2R5E	0.605	0.2925008
WIPI2	0.563	0.2925377
LIN37	-0.559	0.2926185
HMGCLL1	0.574	0.2926395
ACTA2-AS1	-0.862	0.2926538
CSF1R	-0.877	0.2926985
USP14	-0.665	0.2927155
MAGEA10	0.661	0.2928087
INHBA-AS1	-1.33	0.2928109
CELP	-0.884	0.2929484
ABHD16A	1.05	0.2929555
CHD1L	-0.692	0.2930082
KIR3DL1	1.69	0.2930172
DSCAM	-0.941	0.2930577
LRRC37A4P	0.903	0.2930653
GHRL	-1.0	0.2930667
CNKSR2	1.1	0.293116
C20ORF197	-1.86	0.2931218
TMEM179	1.59	0.2931269
NRIP2	0.846	0.2931302
PDCD1	1.36	0.2931472
IKZF4	-1.65	0.2931598
CUL7	0.951	0.2932153
LOC101928526	0.788	0.2932174
KRT74	-0.611	0.2932249
LOC619427	-0.94	0.2932399
SERPINE2	-0.695	0.2932716
EPHB6	0.657	0.2932928
TFB1M	-0.698	0.2933028
ATP1B4	0.788	0.2933945
NDNF	0.949	0.2934403
MYH7	0.845	0.2934668
PRM3	0.561	0.2934845
ZNF483	0.631	0.2934997
PKN2	-0.614	0.2935597
SRGN	-1.75	0.2936153
LOC101928988	-2.05	0.2936305
TTC9C	0.643	0.293685
RAB3A	-0.735	0.2936908
GGT1	0.672	0.2937988
CEP170B	0.641	0.2937999
NPC2	-0.738	0.2938233
DRAM2	0.594	0.2938383
PRDM8	-1.18	0.293846
LRIG1	0.553	0.2938484
CHTOP	0.837	0.293877
AHI1	0.668	0.2939126
DEGS2	-1.07	0.2939343
USP34	0.6	0.2939995
PQLC2	0.743	0.294014
CHD3	0.727	0.294121
SHC3	0.909	0.2942123
CAPRIN2	1.72	0.2942932
CBR3	-0.589	0.2944
ATP2B1	0.978	0.2944003
ALDH3A2	0.73	0.2945119
MSS51	-1.81	0.2945139
TRIM11	-0.866	0.2945444
PEX3	1.11	0.2945527
RAC1	-0.696	0.2945699
EXOSC3	0.592	0.2945719
CREB3L1	-1.37	0.2947155
FUT11	0.57	0.2947621
CD4	0.652	0.2947802
PHYKPL	-1.14	0.2949032
RIOK3	-0.68	0.2949189
TNFSF14	-1.15	0.2950433
HS2ST1	-0.609	0.2950514
PIGR	-0.877	0.2951213
LOC91450	0.616	0.2951213
RBP7	-0.944	0.2951352
PIGT	-0.64	0.2951397
PDE1B	0.83	0.2951707
BAG4	0.808	0.2951928
LMO1	0.819	0.2952466
CCNO	1.41	0.2952676
DRICH1	-1.55	0.2953944
ARF6	0.795	0.2953948
C11ORF88	-0.608	0.2954155
LOC145845	1.42	0.2954473
ASB13	0.566	0.2954675
OR7E37P	-0.714	0.2955063
NTSR1	-1.2	0.2955202
PLCL2	1.17	0.2955461
SRSF6	0.629	0.2955726
ATP8B4	-2.65	0.2956382
OR2A4	2.32	0.2956516
LOC101927508	-1.24	0.2956956
MEGF6	-0.628	0.295736
LOC105374177	-1.36	0.295867
ZNF721	0.634	0.2958797
NAAA	-0.63	0.295913
CAMTA1	0.838	0.2959316
SENP7	-0.619	0.2960226
KCTD6	0.69	0.2960917
RNGTT	-1.06	0.2961088
ADM	1.47	0.296127
TEKT5	0.942	0.2961338
NDUFA2	-1.65	0.2961632
LPP	-1.02	0.2961668
LOC101927447	1.56	0.2961771
PRPF40A	0.592	0.2961922
C1ORF61	-1.02	0.2962231
POLR3G	-1.24	0.2962697
KIF18B	-1.8	0.2963324
PPM1K	-0.551	0.2963331
ASTN2	0.627	0.2963594
HILS1	0.877	0.2963857
MKL2	0.65	0.2963898
MCPH1-AS1	0.709	0.296397
UBAP1	0.58	0.296443
APOBEC4	0.564	0.2964475
HOXD8	0.988	0.2964484
CASP10	-1.02	0.296456
FAM71E2	0.806	0.2965308
CRYBG3	-0.827	0.2965319
DHX8	0.639	0.296557
TMEM45B	1.78	0.2967341
LOC101928865	0.823	0.2967822
KCTD4	-0.892	0.296795
MYO1G	1.62	0.2968313
TNRC6B	0.648	0.296888
PIK3CA	0.553	0.2968966
CCDC42	-1.7	0.29691
CXCL11	-2.48	0.2969159
HTR3C	1.02	0.2969266
SMIM6	-2.54	0.2969538
MTA2	0.706	0.2969716
STK36	-0.603	0.297094
TOP1	0.564	0.2970968
PCSK7	-0.685	0.2971447
MT1G	0.58	0.2971897
TMEM92	-0.744	0.297219
RCC1L	-1.41	0.2972195
LINC00957	0.571	0.2973219
ZNF45	0.572	0.2974172
GJB1	-0.672	0.2974411
UBXN1	-1.23	0.2974746
FSIP2	1.85	0.2974949
ART5	-0.761	0.2975107
CEP83	1.17	0.2975112
KIAA0232	0.644	0.2975857
ZNF365	0.596	0.2976595
PSMA5	-0.554	0.2976669
RNF130	1.06	0.2977654
SART1	-0.571	0.297804
SGSH	-0.694	0.2978213
NAA40	-0.638	0.297848
MAP6	-1.24	0.2979039
FADS2	-0.624	0.2979187
SRRM1	0.678	0.2979325
SPG20-AS1	-1.14	0.2981362
BCO1	0.63	0.2982818
REEP5	-0.558	0.2982877
RGS1	-2.14	0.2984733
SLC20A1	-0.599	0.2984808
ASPHD2	1.42	0.2985669
CCDC18-AS1	1.13	0.2985817
OGN	-0.944	0.2985933
KCNMA1-AS1	-1.38	0.2985945
GPR20	0.961	0.2986266
NCLN	-1.29	0.2986882
ARFGEF3	-0.568	0.2987102
EPHX4	-0.732	0.298716
BPIFA4P	1.15	0.2987677
LRRK2	-0.712	0.298772
EML5	1.25	0.2987752
PHLDB1	-0.597	0.2988142
TPPP3	-1.31	0.2988376
C5ORF34	-0.863	0.2989329
NSUN3	-1.56	0.2989381
NANOG	-1.26	0.298955
THEM5	-0.73	0.2990007
PPP4R2	-0.586	0.2990408
YTHDF3	-0.611	0.2992415
MAOB	-0.701	0.2993258
ZNF227	0.636	0.2993784
FOXF2	-0.581	0.2994122
NQO1	-1.05	0.2994806
CACNA1H	1.24	0.2995174
PCYOX1L	-0.837	0.2995299
BANF1	0.586	0.2996759
LOC100996349	0.828	0.2997236
CFDP1	0.546	0.2997495
QSOX2	0.838	0.2997864
LRRFIP2	-1.6	0.2998788
LINC01279	1.1	0.2998931
KCNMB1	-1.11	0.2999137
LOC148696	-1.28	0.2999227
LINC01293	1.37	0.2999406
LINC01477	1.51	0.3001754
DUSP5P1	1.6	0.3003679
ZNF441	-0.776	0.3004052
CCDC69	-0.64	0.3004151
TIMM17B	-0.681	0.3004412
FEM1B	0.617	0.3005426
LARP4	-0.604	0.3005522
IP6K3	0.691	0.3005575
SLK	0.577	0.300661
LRR1	1.68	0.3007357
ZNF782	-0.762	0.3007507
BLM	0.59	0.3008765
NEMP2	-1.32	0.3008961
ZFYVE21	-0.67	0.3008975
SPANXA2-OT1	1.74	0.3009739
TBC1D25	0.543	0.3010408
RAB22A	0.569	0.3011212
GALNT6	-0.914	0.3011448
PLAG1	0.652	0.3011631
TDO2	0.772	0.3011857
PLBD1	-0.663	0.3012132
DNAJB4	0.623	0.3012204
AXIN2	1.58	0.3012239
TAS2R9	-0.573	0.3012258
VIT	0.855	0.301255
SIGLEC16	1.24	0.3013
PSMB7	-0.543	0.3013499
TLR6	-1.43	0.3013589
LINC00293	-1.49	0.3013883
NAALADL2	-1.85	0.30141
NMNAT3	0.609	0.3014298
GMFB	-0.638	0.3014482
CCDC50	-0.707	0.3014991
DAGLB	0.688	0.3016101
PRB1	1.09	0.3016503
MRPL30	0.541	0.3016628
LOC101928748	0.558	0.3016728
LOC105373418	-0.573	0.3016976
ETF1	-0.572	0.3017823
RCOR3	-0.589	0.3018109
MEG9	-0.596	0.3018309
E2F5	-1.54	0.3018601
STXBP2	-1.66	0.3018656
MASP1	0.966	0.3018979
TRIM17	-1.32	0.3019014
LOC158863	-0.603	0.3019022
RAB33A	0.686	0.3019497
TMPRSS3	-0.641	0.3020399
TP53BP2	-0.651	0.3020642
SFXN5	-1.48	0.3021101
KRT4	1.47	0.3021139
TMEM260	-0.715	0.3021242
SATB1-AS1	0.558	0.3021658
SIRPA	0.547	0.302283
ITPRIP	-1.29	0.3022857
ARPC1B	-0.853	0.302341
ADTRP	0.54	0.3023653
PRPS2	0.559	0.302389
TNK1	0.834	0.3024217
LOC100507388	0.799	0.3024232
ODC1	-0.639	0.3024381
NET1	-0.587	0.3024554
GABRG1	-0.888	0.3025153
CCDC126	0.679	0.3025611
LOC100505942	1.12	0.3025797
ZRANB1	0.822	0.302586
LOC102546299	-0.778	0.3026235
ACTR6	-1.97	0.3026431
ZNF414	-1.44	0.3027791
FOXN3-AS1	0.715	0.3028101
SEMA4A	0.636	0.3028418
BEX2	0.571	0.3028435
NME1	0.559	0.3029051
PTPRA	0.708	0.3029289
ATG2B	0.564	0.3029618
FAM13C	-0.664	0.3029729
TCL1B	0.746	0.3030292
ASPA	0.57	0.3030379
GGCX	0.592	0.3031635
MYO1F	-0.889	0.3031811
AIF1L	-0.587	0.303188
COL6A1	-0.622	0.3032074
CD24	-0.796	0.3032943
NHLRC4	0.688	0.3034335
FAM57B	1.29	0.3034677
SLC26A6	-0.563	0.3034746
ZEB1	0.778	0.3034827
C8ORF74	-0.693	0.3034919
ASTN1	0.619	0.3035447
MYOT	0.69	0.3035548
AP3D1	0.605	0.3035584
TMEM8B	-0.697	0.3035806
AP1G1	0.588	0.3035933
TXNRD1	-1.87	0.303619
SLC7A1	-1.2	0.3036393
DNAJC17	-0.661	0.3036753
HTR2C	1.22	0.303681
C8G	1.61	0.3036955
HMBS	0.545	0.3037747
TOP3B	-1.19	0.3038179
CYP11B2	0.6	0.3038394
SELE	-1.72	0.3038804
EDF1	-0.549	0.3039526
CLEC11A	0.638	0.3040375
PIAS1	0.727	0.3041124
TAAR3	0.772	0.3041196
SEMA3C	-0.602	0.3042308
ACER2	0.595	0.3042445
PKP2	1.07	0.3042566
PRKAB1	-0.669	0.3042813
LOC100129550	-0.673	0.3043003
DUX1	-0.967	0.3043208
INPP5F	0.666	0.3044355
B4GALT1	-0.871	0.3045632
LGALS8	-0.696	0.3045679
PHF7	1.31	0.3047389
EXT1	0.674	0.3047594
MED23	-0.546	0.304763
KCTD21	-0.675	0.3049039
IGF2BP3	2.2	0.3049751
RARG	-1.81	0.3049752
CLCN7	-0.786	0.3049907
KRBA1	-0.542	0.3050032
SLCO6A1	1.31	0.3050288
RCN3	0.764	0.3050321
PSMG3	0.563	0.3051122
CTTNBP2NL	-0.805	0.3051419
OR1G1	0.877	0.3051437
SLC5A8	-0.581	0.3052842
WBSCR17	1.08	0.3053033
TRIM9	0.603	0.3053196
LINC01069	1.58	0.305516
PLD6	-1.69	0.3056692
GPR82	-0.77	0.3057495
SWSAP1	-0.615	0.3057503
CYP2A7	0.969	0.3057752
LINC01197	-1.87	0.3057824
PLEKHA6	-1.17	0.3057971
TMEM51-AS1	2.06	0.3058064
PRPF31	1.54	0.3058178
ME3	0.542	0.3058264
SLC6A13	0.675	0.3058367
TMEM62	1.58	0.3058664
HOXB4	0.938	0.3058668
DCLRE1B	0.538	0.3058972
LOC151121	0.546	0.3059181
HYDIN2	1.08	0.3059365
RCHY1	0.595	0.3060251
ELP5	0.577	0.3061026
TNFRSF10B	-0.564	0.3061113
LOC101929748	0.564	0.3061553
UBQLN1	0.66	0.3062047
SRXN1	0.797	0.3062106
MORN2	-0.578	0.306281
HCCS	0.604	0.3063034
CYP11A1	1.04	0.3063319
TRIM59	-1.13	0.3063837
LOC202181	-0.728	0.3065184
KRT40	1.54	0.3065475
LIX1L	0.538	0.3067506
NCBP1	-0.899	0.3068043
MAPK12	-0.835	0.3068615
TRIM52-AS1	0.539	0.3068656
CPNE7	-0.826	0.3069496
SEPHS1	-0.568	0.3069883
RASGRF2	-0.968	0.3070155
CD1B	1.78	0.3070274
PPP2CA	0.731	0.30707
TRPC7	0.544	0.307106
LOC100288123	-2.04	0.3074467
FSIP1	-1.56	0.3074819
RNF126P1	-0.929	0.3075414
UPF3A	0.82	0.3075707
CHRM1	-0.926	0.3075923
ZSWIM7	0.659	0.3076397
C6ORF136	0.586	0.3077815
ADCK2	-1.59	0.307862
IFT20	0.57	0.3078999
KAT2A	0.622	0.3079007
ANKLE1	2.2	0.3079061
CCDC153	-0.655	0.3080013
SLC25A45	-2.28	0.3080699
RGL4	0.916	0.3080959
ERVK3-2	2.38	0.3081436
FLJ45513	-1.28	0.308223
BTG2	-1.33	0.30829
TTLL6	-0.555	0.3083207
SUPT16H	0.81	0.3083263
P2RY12	0.608	0.3083312
DKFZP564H213	-1.17	0.3083637
DHX15	0.596	0.3083913
SSPN	1.29	0.3084143
TMEM185B	-0.921	0.3084465
SDC4	0.85	0.3084885
TANC2	-0.557	0.3085284
SPERT	0.577	0.3085592
OR2M4	-0.814	0.3085824
WDR36	0.831	0.3086509
SOX13	-0.682	0.3086706
BAHCC1	0.849	0.3087262
MRPS22	0.532	0.3087434
ECI1	0.543	0.308765
LOC646522	1.72	0.3087655
LAMP3	1.22	0.308789
FAM186A	-1.72	0.3088052
ARHGEF37	-0.666	0.3088122
GTF2H1	-0.553	0.3088199
DNAJC3	-0.558	0.3088684
PLEKHM1	1.64	0.3089376
BOC	0.605	0.3089426
