gene,uniprot,ratio_PD_vs_control,significant,log2fc
CPNE3,O75131,1.15,True,0.2016
CPNE5,Q9HCH3,0.96,False,-0.0589
CPNE6,O95741,1.1,False,0.1375
CPQ,Q9Y646,1.05,False,0.0704
CPT1A,P50416,0.8,True,-0.3219
CPT2,P23786,1.14,False,0.189
CRAT,P43155,0.95,False,-0.074
CRIP2,P52943,1.22,False,0.2869
CRK,P46108,1.09,False,0.1243
CRKL,P46109,0.93,False,-0.1047
CRMP1,Q14194,0.94,False,-0.0893
CRTAC1,Q9NQ79,1.04,False,0.0566
CRYAB,P02511,1.18,True,0.2388
CRYL1,Q9Y2S2,1.22,True,0.2869
CRYM,Q14894,0.98,False,-0.0291
CRYZ,Q08257,0.95,False,-0.074
CS,O75390,0.96,False,-0.0589
CSDE1,O75534,0.83,True,-0.2688
CSE1L,P55060,1.05,False,0.0704
CSNK1D,P48730,0.97,False,-0.0439
CSNK2A1,P68400,0.93,False,-0.1047
CSRP1,P21291,1.25,True,0.3219
CST3,P01034,1.14,False,0.189
CSTB,P04080,1.11,False,0.1506
CTBP1,Q13363,0.92,False,-0.1203
CTBP2,P56545,1.0,False,0.0
CTNNA1,P35221,1.08,False,0.111
CTNNA2,P26232,1.14,True,0.189
CTNNB1,P35222,1.11,False,0.1506
CTNND1,O60716,1.04,False,0.0566
CTNND2,Q9UQB3,1.07,False,0.0976
CTSB,P07858,0.99,False,-0.0145
CTSD,P07339,0.94,False,-0.0893
CUL1,Q13616,0.99,False,-0.0145
CUL2,Q13617,0.99,False,-0.0145
CUL3,Q13618,0.97,False,-0.0439
CUL4B,Q13620,1.02,False,0.0286
CUL5,Q93034,1.01,False,0.0144
CUTA,O60888,1.08,False,0.111
CYB5R1,Q9UHQ9,0.95,False,-0.074
CYB5R2,Q6BCY4,1.05,False,0.0704
CYB5R3,P00387,1.12,True,0.1635
CYC1,P08574,0.96,False,-0.0589
CYCS,P99999,0.93,False,-0.1047
CYFIP1,Q7L576,0.99,False,-0.0145
CYFIP2,Q96F07,1.01,False,0.0144
DAAM2,Q86T65,1.2,True,0.263
DAK,Q3LXA3,1.12,True,0.1635
DAO,P14920,1.55,False,0.6323
DARS,P14868,1.0,False,0.0
DBI,P07108,1.28,False,0.3561
DBN1,Q16643,0.94,False,-0.0893
DBT,P11182,0.95,False,-0.074
DCLK1,O15075,1.05,False,0.0704
DCTN1,Q14203,1.0,False,0.0
DCTN2,Q13561,1.05,False,0.0704
DCTN3,O75935,0.99,False,-0.0145
DCTN4,Q9UJW0,1.05,False,0.0704
DCXR,Q7Z4W1,1.09,False,0.1243
DDAH1,O94760,1.19,True,0.251
DDAH2,O95865,1.12,False,0.1635
DDB1,Q16531,0.96,False,-0.0589
DDHD2,O94830,0.93,False,-0.1047
DDOST,P39656,0.87,True,-0.2009
DDRGK1,Q96HY6,1.01,False,0.0144
DDT,P30046,1.01,False,0.0144
DDX1,Q92499,1.0,False,0.0
DDX17,Q92841,1.01,False,0.0144
DDX39B,Q13838,1.06,False,0.0841
DDX3X,O00571,0.95,False,-0.074
DECR1,Q16698,0.96,False,-0.0589
DHX15,O43143,1.04,False,0.0566
DHX9,Q08211,1.07,False,0.0976
DIAPH1,O60610,0.97,False,-0.0439
DIP2A,Q14689,1.09,False,0.1243
DIP2B,Q9P265,1.01,False,0.0144
DIP2C,Q9Y2E4,0.99,False,-0.0145
DKK3,Q9UBP4,1.05,False,0.0704
DLAT,P10515,0.91,False,-0.1361
DLD,P09622,0.95,False,-0.074
DLG1,Q12959,1.18,True,0.2388
DLG2,Q15700,1.08,False,0.111
DLG4,P78352,0.95,False,-0.074
DLST,P36957,0.94,False,-0.0893
DMD,P11532,1.2,False,0.263
DMXL2,Q8TDJ6,0.92,False,-0.1203
DNAJA2,O60884,0.98,False,-0.0291
DNAJA4,Q8WW22,0.99,False,-0.0145
DNAJB1,P25685,0.96,False,-0.0589
DNAJB4,Q9UDY4,1.01,False,0.0144
DNAJC5,Q9H3Z4,0.89,True,-0.1681
DNAJC6,O75061,0.89,False,-0.1681
DNM1,Q05193,0.96,False,-0.0589
DNM1L,O00429,0.99,False,-0.0145
DNM2,P50570,1.04,False,0.0566
DNM3,Q9UQ16,0.98,False,-0.0291
DNPEP,Q9ULA0,1.14,True,0.189
DOCK4,Q8N1I0,0.94,False,-0.0893
DPP3,Q9NY33,1.01,False,0.0144
DPP6,P42658,1.01,False,0.0144
DPP7,Q9UHL4,0.93,False,-0.1047
DPYSL2,Q16555,1.06,False,0.0841
DPYSL3,Q14195,1.19,False,0.251
DPYSL4,O14531,1.03,False,0.0426
DPYSL5,Q9BPU6,1.01,False,0.0144
DST,Q03001,0.99,False,-0.0145
DSTN,P60981,0.95,False,-0.074
DTD1,Q8TEA8,1.07,False,0.0976
