gene,uniprot,ratio_PD_vs_control,significant,log2fc
PRDX3,P30048,0.96,False,-0.0589
PRDX4,Q13162,0.93,False,-0.1047
PRDX5,P30044,1.02,False,0.0286
PRDX6,P30041,1.18,False,0.2388
PREP,P48147,0.99,False,-0.0145
PREPL,Q4J6C6,0.88,True,-0.1844
PRKAA1,Q13131,0.99,False,-0.0145
PRKAA2,P54646,1.08,False,0.111
PRKACA,P17612,0.74,True,-0.4344
PRKACB,P22694,0.88,False,-0.1844
PRKAG2,Q9UGJ0,0.94,False,-0.0893
PRKAR1A,P10644,1.0,False,0.0
PRKAR2A,P13861,0.96,False,-0.0589
PRKAR2B,P31323,0.82,False,-0.2863
PRKCA,P17252,1.13,False,0.1763
PRKCB,P05771,1.0,False,0.0
PRKCD,Q05655,0.92,False,-0.1203
PRKCE,Q02156,1.03,False,0.0426
PRKCG,P05129,1.02,False,0.0286
PRKCSH,P14314,1.0,False,0.0
PRKDC,P78527,1.0,False,0.0
PRMT5,O14744,0.99,False,-0.0145
PRNP,P04156,0.99,False,-0.0145
PRODH,O43272,0.93,False,-0.1047
PRPF8,Q6P2Q9,1.07,False,0.0976
PRPS1,P60891,0.98,False,-0.0291
PRPS2,P11908,1.24,True,0.3103
PRPSAP1,Q14558,1.01,False,0.0144
PRPSAP2,O60256,0.99,False,-0.0145
PRRT2,Q7Z6L0,1.07,False,0.0976
PSAP,P07602,0.84,False,-0.2515
PSAT1,Q9Y617,1.11,False,0.1506
PSMA1,P25786,0.98,False,-0.0291
PSMA2,P25787,1.02,False,0.0286
PSMA3,P25788,1.01,False,0.0144
PSMA4,P25789,1.03,False,0.0426
PSMA5,P28066,1.03,False,0.0426
PSMA6,P60900,1.12,False,0.1635
PSMA7,O14818,1.02,False,0.0286
PSMB1,P20618,1.0,False,0.0
PSMB2,P49721,0.96,False,-0.0589
PSMB3,P49720,1.01,False,0.0144
PSMB5,P28074,1.0,False,0.0
PSMB7,Q99436,0.98,False,-0.0291
PSMC2,P35998,1.0,False,0.0
PSMC3,P17980,0.91,False,-0.1361
PSMC4,P43686,0.99,False,-0.0145
PSMC5,P62195,0.95,False,-0.074
PSMD11,O00231,0.98,False,-0.0291
PSMD12,O00232,0.84,False,-0.2515
PSMD2,Q13200,0.98,False,-0.0291
PSMD3,O43242,0.95,False,-0.074
PSMD5,Q16401,0.96,False,-0.0589
PSMD6,Q15008,0.97,False,-0.0439
PSMD7,P51665,0.93,False,-0.1047
PSMF1,Q92530,1.01,False,0.0144
PTGDS,P41222,1.04,False,0.0566
PTGES2,Q9H7Z7,1.07,False,0.0976
PTGES3,Q15185,1.03,False,0.0426
PTGR1,Q14914,1.1,False,0.1375
PTGR2,Q8N8N7,1.1,False,0.1375
PTK2B,Q14289,1.04,False,0.0566
PTP4A2,Q12974,1.04,False,0.0566
PTPLAD1,Q9P035,0.97,False,-0.0439
PTPN11,Q06124,1.07,False,0.0976
PTPN5,P54829,1.04,False,0.0566
PTPRF,P10586,1.06,False,0.0841
PTPRN,Q16849,0.96,False,-0.0589
PTPRN2,Q92932,0.98,False,-0.0291
PTPRS,Q13332,0.98,False,-0.0291
PTPRZ1,P23471,1.02,False,0.0286
PTRF,Q6NZI2,1.12,False,0.1635
PURA,Q00577,0.75,True,-0.415
PXK,Q7Z7A4,1.1,False,0.1375
PYGB,P11216,1.06,False,0.0841
PYGL,P06737,0.79,True,-0.3401
PYGM,P11217,1.18,False,0.2388
,Q96PK2,1.14,False,0.189
,Q9H6K5,1.19,True,0.251
QARS,P47897,0.88,False,-0.1844
QDPR,P09417,0.99,False,-0.0145
QKI,Q96PU8,1.2,True,0.263
QRSL1,Q9H0R6,0.88,False,-0.1844
RAB10,P61026,0.98,False,-0.0291
RAB11B,Q15907,0.99,False,-0.0145
RAB12,Q6IQ22,1.06,False,0.0841
RAB14,P61106,0.98,False,-0.0291
RAB15,P59190,0.93,False,-0.1047
RAB18,Q9NP72,0.96,False,-0.0589
RAB1A,P62820,0.91,False,-0.1361
RAB1B,Q9H0U4,0.94,False,-0.0893
RAB21,Q9UL25,1.0,False,0.0
RAB22A,Q9UL26,0.95,False,-0.074
RAB2A,P61019,0.9,True,-0.152
RAB2B,Q8WUD1,0.93,False,-0.1047
RAB30,Q15771,0.99,False,-0.0145
RAB35,Q15286,0.95,False,-0.074
RAB39B,Q96DA2,0.98,False,-0.0291
RAB3A,P20336,0.93,False,-0.1047
RAB3C,Q96E17,0.91,False,-0.1361
RAB3GAP1,Q15042,0.91,False,-0.1361
RAB3GAP2,Q9H2M9,0.83,True,-0.2688
RAB4A,P20338,0.94,False,-0.0893
RAB4B,P61018,0.92,False,-0.1203
RAB5A,P20339,0.95,False,-0.074
RAB5B,P61020,0.99,False,-0.0145
RAB5C,P51148,1.03,False,0.0426
RAB6A,P20340,1.06,False,0.0841
RAB6B,Q9NRW1,1.02,False,0.0286
RAB7A,P51149,0.92,False,-0.1203
RAB8B,Q92930,0.93,False,-0.1047
RABEP1,Q15276,1.03,False,0.0426
RABGAP1,Q9Y3P9,0.88,False,-0.1844
RAC1,P63000,1.15,True,0.2016
RAC3,P60763,0.94,False,-0.0893
RAD23B,P54727,1.05,False,0.0704
RALA,P11233,1.0,False,0.0
RAN,P62826,1.02,False,0.0286
RANBP1,P43487,1.09,False,0.1243
RAP1A,P62834,0.99,False,-0.0145
RAP1B,P61224,1.05,False,0.0704
RAP1GAP,P47736,0.82,True,-0.2863
RAP1GDS1,P52306,0.93,False,-0.1047
RAP2A,P10114,0.99,False,-0.0145
RAP2B,P61225,1.03,False,0.0426
RAP2C,Q9Y3L5,0.94,False,-0.0893
RAPGEF4,Q8WZA2,0.89,False,-0.1681
RARS,P54136,0.82,False,-0.2863
RASGRP2,Q7LDG7,1.04,False,0.0566
RBBP9,O75884,1.06,False,0.0841
RBP1,P09455,0.96,False,-0.0589
RCL,O43598,1.04,False,0.0566
RCN1,Q15293,1.11,False,0.1506
RCN2,Q14257,0.86,True,-0.2176
RDH11,Q8TC12,0.96,False,-0.0589
RDH13,Q8NBN7,0.76,True,-0.3959
RDX,P35241,1.13,True,0.1763
REEP1,Q9H902,0.9,False,-0.152
REEP5,Q00765,1.0,False,0.0
RG9MTD1,Q7L0Y3,0.82,True,-0.2863
RGS14,O43566,0.97,False,-0.0439
RGS7,P49802,0.95,False,-0.074
RHEB,Q15382,0.95,False,-0.074
RHOA,P61586,1.07,False,0.0976
RHOB,P62745,1.01,False,0.0144
RHOG,P84095,1.01,False,0.0144
RHOT1,Q8IXI2,0.99,False,-0.0145
RNF170,Q96K19,1.03,False,0.0426
RNH1,P13489,1.04,False,0.0566
RNPEP,Q9H4A4,1.07,False,0.0976
ROBO2,Q9HCK4,1.0,False,0.0
ROCK2,O75116,0.99,False,-0.0145
RPA3,P35244,0.86,False,-0.2176
RPH3A,Q9Y2J0,1.21,False,0.275
RPL12,P30050,0.89,False,-0.1681
RPL23A,P62750,0.93,False,-0.1047
RPL28,P46779,0.79,True,-0.3401
RPL31,P62899,0.87,False,-0.2009
RPL35A,P18077,0.74,False,-0.4344
RPL4,P36578,0.86,False,-0.2176
RPL5,P46777,0.99,False,-0.0145
RPL6,Q02878,0.79,False,-0.3401
RPL7,P18124,0.84,False,-0.2515
RPL7A,P62424,0.92,False,-0.1203
RPL8,P62917,1.04,False,0.0566
RPLP0,P05388,0.77,False,-0.3771
RPLP2,P05387,0.81,False,-0.304
RPN1,P04843,0.86,True,-0.2176
RPN2,P04844,0.81,True,-0.304
RPS10,P46783,0.84,False,-0.2515
RPS11,P62280,0.91,False,-0.1361
RPS12,P25398,0.92,False,-0.1203
RPS13,P62277,0.82,False,-0.2863
RPS14,P62263,0.91,False,-0.1361
RPS15A,P62244,0.87,True,-0.2009
RPS16,P62249,0.84,False,-0.2515
RPS18,P62269,0.79,False,-0.3401
RPS19,P39019,0.87,False,-0.2009
RPS21,P63220,0.82,False,-0.2863
RPS24,P62847,0.94,False,-0.0893
RPS28,P62857,0.85,False,-0.2345
RPS3,P23396,0.79,True,-0.3401
RPS3A,P61247,0.89,False,-0.1681
RPS4X,P62701,0.79,False,-0.3401
RPS5,P46782,0.88,False,-0.1844
RPS6,P62753,0.88,False,-0.1844
RPS6KA2,Q15349,1.1,False,0.1375
RPS7,P62081,0.91,False,-0.1361
RPS8,P62241,0.84,True,-0.2515
RPS9,P46781,0.78,False,-0.3585
RPSA,P08865,0.79,False,-0.3401
RRAGA,Q7L523,0.97,False,-0.0439
RRAGC,Q9HB90,0.95,False,-0.074
RRAS,P10301,1.05,False,0.0704
RRAS2,P62070,0.93,False,-0.1047
RRBP1,Q9P2E9,1.04,False,0.0566
RSU1,Q15404,1.15,False,0.2016
RTN1,Q16799,1.0,False,0.0
RTN3,O95197,0.95,False,-0.074
RTN4,Q9NQC3,1.01,False,0.0144
RUFY3,Q7L099,0.95,False,-0.074
RUVBL1,Q9Y265,1.11,False,0.1506
RYR1,P21817,1.0,False,0.0
RYR2,Q92736,1.0,False,0.0
S100A1,P23297,1.03,False,0.0426
S100A13,Q99584,1.19,False,0.251
S100A16,Q96FQ6,1.05,False,0.0704
S100B,P04271,1.24,False,0.3103
SACM1L,Q9NTJ5,0.94,False,-0.0893
SACS,Q9NZJ4,1.01,False,0.0144
SAMM50,Q9Y512,0.9,True,-0.152
SAR1A,Q9NR31,0.98,False,-0.0291
SARS,P49591,1.0,False,0.0
SARS2,Q9NP81,1.0,False,0.0
SBF1,O95248,1.07,False,0.0976
SCAI,Q8N9R8,0.84,False,-0.2515
SCAMP1,O15126,1.06,False,0.0841
SCAMP3,O14828,0.95,False,-0.074
SCAMP5,Q8TAC9,0.81,True,-0.304
SCCPDH,Q8NBX0,1.0,False,0.0
SCG2,P13521,0.92,False,-0.1203
SCG5,P05408,0.94,False,-0.0893
SCN2A,Q99250,0.98,False,-0.0291
SCN4B,Q8IWT1,1.01,False,0.0144
SCRN1,Q12765,0.92,False,-0.1203
SDHA,P31040,0.94,False,-0.0893
SDHB,P21912,1.03,False,0.0426
SEC14L2,O76054,1.06,False,0.0841
SEC22B,O75396,0.91,False,-0.1361
SEC23A,Q15436,0.88,False,-0.1844
SEC24C,P53992,0.9,False,-0.152
SEL1L,Q9UBV2,0.98,False,-0.0291
SELENBP1,Q13228,1.18,True,0.2388
SEMA4D,Q92854,1.06,False,0.0841
SEPT10,Q9P0V9,1.11,False,0.1506
SEPT11,Q9NVA2,0.95,False,-0.074
SEPT2,Q15019,1.12,False,0.1635
SEPT3,Q9UH03,1.05,False,0.0704
SEPT4,O43236,1.08,False,0.111
SEPT5,Q99719,1.02,False,0.0286
SEPT6,Q14141,1.0,False,0.0
SEPT7,Q16181,1.02,False,0.0286
SEPT8,Q92599,1.05,False,0.0704
SEPT9,Q9UHD8,1.05,False,0.0704
SERPINA1,P01009,0.58,False,-0.7859
SERPINB6,P35237,1.04,False,0.0566
SERPINB8,P50452,0.98,False,-0.0291
SERPINE2,P07093,1.11,False,0.1506
SERPING1,P05155,0.75,False,-0.415
SF3B3,Q15393,1.0,False,0.0
SFXN1,Q9H9B4,0.95,False,-0.074
SFXN3,Q9BWM7,1.01,False,0.0144
SFXN5,Q8TD22,0.98,False,-0.0291
SGIP1,Q9BQI5,0.89,False,-0.1681
SGSM1,Q2NKQ1,0.88,False,-0.1844
SGTB,Q96EQ0,0.91,False,-0.1361
SH2D5,Q6ZV89,1.01,False,0.0144
SH3BGRL,O75368,1.09,False,0.1243
SH3BGRL3,Q9H299,1.02,False,0.0286
SH3GL1,Q99961,0.88,False,-0.1844
SH3GL2,Q99962,0.95,False,-0.074
SH3GL3,Q99963,0.87,False,-0.2009
SH3GLB1,Q9Y371,0.97,False,-0.0439
SH3GLB2,Q9NR46,0.92,False,-0.1203
SH3KBP1,Q96B97,1.08,False,0.111
SHMT2,P34897,0.82,False,-0.2863
SIAE,Q9HAT2,0.79,False,-0.3401
SIRPA,P78324,1.17,True,0.2265
SIRPB1,O00241,0.66,True,-0.5995
SIRPB1,Q5TFQ8,0.68,False,-0.5564
SIRT2,Q8IXJ6,0.99,False,-0.0145
SKP1,P63208,0.94,False,-0.0893
SLC12A2,P55011,0.95,False,-0.074
SLC12A5,Q9H2X9,0.79,True,-0.3401
SLC12A6,Q9UHW9,1.02,False,0.0286
SLC12A7,Q9Y666,0.76,False,-0.3959
SLC17A6,Q9P2U8,0.86,False,-0.2176
SLC1A2,P43004,0.86,False,-0.2176
SLC1A3,P43003,0.97,False,-0.0439
SLC1A4,P43007,0.81,False,-0.304
SLC25A1,P53007,0.92,False,-0.1203
SLC25A10,Q9UBX3,0.93,False,-0.1047
SLC25A11,Q02978,0.9,False,-0.152
SLC25A12,O75746,0.96,False,-0.0589
SLC25A13,Q9UJS0,0.94,False,-0.0893
SLC25A18,Q9H1K4,0.95,False,-0.074
SLC25A22,Q9H936,0.89,True,-0.1681
SLC25A23,Q9BV35,1.07,False,0.0976
SLC25A25,Q6KCM7,0.93,False,-0.1047
SLC25A27,O95847,0.97,False,-0.0439
SLC25A3,Q00325,0.93,False,-0.1047
SLC25A4,P12235,0.92,False,-0.1203
SLC25A42,Q86VD7,1.01,False,0.0144
SLC25A46,Q96AG3,0.96,False,-0.0589
SLC25A5,P05141,0.93,False,-0.1047
SLC25A6,P12236,0.91,False,-0.1361
SLC27A4,Q6P1M0,0.84,True,-0.2515
SLC2A1,P11166,0.75,False,-0.415
SLC2A3,P11169,0.94,False,-0.0893
SLC32A1,Q9H598,0.82,True,-0.2863
SLC6A17,Q9H1V8,0.83,True,-0.2688
SLC9A3R1,O14745,1.16,True,0.2141
SLK,Q9H2G2,1.02,False,0.0286
SMPD3,Q9NY59,1.02,False,0.0286
SMYD5,Q6GMV2,0.96,False,-0.0589
SNAP25,P60880,1.02,False,0.0286
SNAP91,O60641,1.0,False,0.0
SNCA,P37840,0.97,False,-0.0439
SNCB,Q16143,1.48,False,0.5656
SNCG,O76070,1.16,False,0.2141
SND1,Q7KZF4,0.92,False,-0.1203
SNRNP200,O75643,0.95,False,-0.074
SNTA1,Q13424,1.2,False,0.263
SNTB1,Q13884,1.21,False,0.275
SNX2,O60749,1.07,False,0.0976
SNX27,Q96L92,1.02,False,0.0286
SNX3,O60493,1.01,False,0.0144
SNX9,Q9Y5X1,1.12,True,0.1635
SOD1,P00441,1.05,False,0.0704
SOD2,P04179,0.95,False,-0.074
SORD,Q00796,1.46,True,0.546
SORL1,Q92673,1.12,False,0.1635
SPR,P35270,1.0,False,0.0
SPTAN1,Q13813,1.01,False,0.0144
SPTB,P11277,0.92,False,-0.1203
SPTBN1,Q01082,1.04,False,0.0566
SPTBN2,O15020,0.88,True,-0.1844
SPTBN4,Q9H254,0.94,False,-0.0893
SRC,P12931,1.01,False,0.0144
SRI,P30626,1.16,False,0.2141
SRM,P19623,1.02,False,0.0286
SRP14,P37108,1.08,False,0.111
SRPK2,P78362,0.83,False,-0.2688
SRSF1,Q07955,0.95,False,-0.074
SSBP1,Q04837,0.98,False,-0.0291
SSR4,P51571,0.88,False,-0.1844
ST13,P50502,1.07,False,0.0976
STAT1,P42224,1.07,False,0.0976
STIP1,P31948,1.01,False,0.0144
STK32C,Q86UX6,0.95,False,-0.074
STK39,Q9UEW8,1.06,False,0.0841
STMN1,P16949,1.12,False,0.1635
STOM,P27105,0.93,False,-0.1047
STOML2,Q9UJZ1,0.94,False,-0.0893
STRAP,Q9Y3F4,0.93,False,-0.1047
STRN,O43815,0.98,False,-0.0291
STRN4,Q9NRL3,0.99,False,-0.0145
STUB1,Q9UNE7,0.93,False,-0.1047
STX12,Q86Y82,0.93,False,-0.1047
STX1A,Q16623,0.89,False,-0.1681
STX1B,P61266,1.01,False,0.0144
STXBP1,P61764,0.98,False,-0.0291
STXBP3,O00186,1.02,False,0.0286
STXBP5,Q5T5C0,0.96,False,-0.0589
SUCLA2,Q9P2R7,0.93,False,-0.1047
SUCLG1,P53597,0.95,False,-0.074
SUGT1,Q9Y2Z0,1.08,False,0.111
SULT4A1,Q9BR01,0.94,False,-0.0893
SURF4,O15260,0.98,False,-0.0291
SV2A,Q7L0J3,0.88,True,-0.1844
SYN1,P17600,0.89,True,-0.1681
SYN2,Q92777,0.83,False,-0.2688
SYN3,O14994,0.84,False,-0.2515
SYNE1,Q8NF91,0.94,False,-0.0893
SYNGR1,O43759,0.85,True,-0.2345
SYNGR3,O43761,0.92,False,-0.1203
SYNJ1,O43426,0.96,False,-0.0589
SYNJ2BP,P57105,1.04,False,0.0566
SYNPR,Q8TBG9,0.9,False,-0.152
SYP,P08247,0.88,True,-0.1844
SYT1,P21579,0.91,False,-0.1361
SYT2,Q8N9I0,0.96,False,-0.0589
SYT5,O00445,0.95,False,-0.074
TAC1,P20366,0.84,True,-0.2515
TAGLN2,P37802,1.07,False,0.0976
TAGLN3,Q9UI15,0.96,False,-0.0589
TALDO1,P37837,1.14,True,0.189
TARS,P26639,0.91,False,-0.1361
TARSL2,A2RTX5,0.82,False,-0.2863
TBC1D24,Q9ULP9,1.08,False,0.111
TBCA,O75347,1.0,False,0.0
TBCB,Q99426,1.16,False,0.2141
TBCD,Q9BTW9,0.91,False,-0.1361
TCEB1,Q15369,1.05,False,0.0704
TCEB2,Q15370,1.02,False,0.0286
TCP1,P17987,0.96,False,-0.0589
TECR,Q9NZ01,0.92,False,-0.1203
TESC,Q96BS2,1.05,False,0.0704
TF,P02787,0.97,False,-0.0439
TFAM,Q00059,1.01,False,0.0144
TFCP2,Q12800,1.04,False,0.0566
TGM2,P21980,1.01,False,0.0144
TH,P07101,0.67,False,-0.5778
THY1,P04216,0.98,False,-0.0291
TIMM44,O43615,0.93,False,-0.1047
TIMM50,Q3ZCQ8,0.9,False,-0.152
TIMM8A,O60220,0.92,False,-0.1203
TIMM9,Q9Y5J7,1.0,False,0.0
TJP1,Q07157,1.3,False,0.3785
TJP2,Q9UDY2,1.71,True,0.774
TKT,P29401,1.03,False,0.0426
TLN1,Q9Y490,1.13,False,0.1763
TLN2,Q9Y4G6,0.95,False,-0.074
TMED7,Q9Y3B3,0.82,False,-0.2863
TMEM30A,Q9NV96,0.94,False,-0.0893
TMEM35,Q53FP2,0.72,True,-0.4739
TMOD2,Q9NZR1,0.98,False,-0.0291
TMSB10,P63313,0.89,False,-0.1681
TMX4,Q9H1E5,0.97,False,-0.0439
TNC,P24821,1.21,False,0.275
TNIK,Q9UKE5,1.16,True,0.2141
TNPO1,Q92973,1.0,False,0.0
TNR,Q92752,1.03,False,0.0426
TOLLIP,Q9H0E2,0.93,False,-0.1047
TOMM70A,O94826,0.96,False,-0.0589
TPBG,Q13641,0.88,False,-0.1844
TPD52,P55327,1.01,False,0.0144
TPI1,P60174,0.97,False,-0.0439
TPM1,P09493,1.02,False,0.0286
TPM3,P06753,1.03,False,0.0426
TPM4,P67936,0.98,False,-0.0291
TPP1,O14773,1.03,False,0.0426
TPP2,P29144,0.95,False,-0.074
TPPP,O94811,1.0,False,0.0
TPPP3,Q9BW30,1.01,False,0.0144
TPT1,P13693,0.96,False,-0.0589
TRAP1,Q12931,0.95,False,-0.074
TRAPPC1,Q9Y5R8,0.99,False,-0.0145
TRAPPC6B,Q86SZ2,0.87,True,-0.2009
TRIM2,Q9C040,1.06,False,0.0841
TRIM25,Q14258,1.06,False,0.0841
TRIM3,O75382,0.93,False,-0.1047
TRIM32,Q13049,0.87,True,-0.2009
TSFM,P43897,0.9,True,-0.152
TSN,Q15631,1.1,False,0.1375
TSPAN8,P19075,0.98,False,-0.0291
TST,Q16762,1.04,False,0.0566
TTC37,Q6PGP7,1.0,False,0.0
TTC9C,Q8N5M4,1.39,True,0.4751
TTLL12,Q14166,0.88,True,-0.1844
TTYH1,Q9H313,0.86,False,-0.2176
TUBA1A,Q71U36,0.98,False,-0.0291
TUBA4A,P68366,0.95,False,-0.074
TUBA8,Q9NY65,0.71,True,-0.4941
TUBAL3,A6NHL2,0.91,False,-0.1361
TUBB,P07437,0.94,False,-0.0893
TUBB2A,Q13885,0.96,False,-0.0589
TUBB2B,Q9BVA1,0.91,False,-0.1361
TUBB3,Q13509,0.96,False,-0.0589
TUBB4A,P04350,0.94,False,-0.0893
TUBB4B,P68371,1.0,False,0.0
TUBB6,Q9BUF5,0.93,False,-0.1047
TUFM,P49411,0.9,False,-0.152
TWF2,Q6IBS0,0.99,False,-0.0145
TXN,P10599,1.06,False,0.0841
TXNDC17,Q9BRA2,1.03,False,0.0426
TXNDC5,Q8NBS9,0.91,False,-0.1361
TXNL1,O43396,0.96,False,-0.0589
TXNRD1,Q16881,1.04,False,0.0566
UBA1,P22314,0.98,False,-0.0291
UBA3,Q8TBC4,1.01,False,0.0144
UBA6,A0AVT1,1.05,False,0.0704
UBB,P0CG47,0.96,False,-0.0589
UBE2L3,P68036,1.09,False,0.1243
UBE2M,P61081,1.09,False,0.1243
UBE2N,P61088,1.0,False,0.0
UBE2O,Q9C0C9,0.89,False,-0.1681
UBE2V2,Q15819,0.98,False,-0.0291
UBQLN1,Q9UMX0,0.92,False,-0.1203
UBQLN2,Q9UHD9,1.05,False,0.0704
UBR4,Q5T4S7,0.92,False,-0.1203
UCHL1,P09936,1.03,False,0.0426
UCHL3,P15374,0.92,False,-0.1203
UGP2,Q16851,1.0,False,0.0
UNC13A,Q9UPW8,0.85,False,-0.2345
UQCR10,Q9UDW1,1.24,False,0.3103
UQCRB,P14927,0.87,True,-0.2009
UQCRC1,P31930,0.94,False,-0.0893
UQCRC2,P22695,0.96,False,-0.0589
UQCRFS1,P47985,0.98,False,-0.0291
UQCRH,P07919,0.96,False,-0.0589
UQCRQ,O14949,0.95,False,-0.074
USMG5,Q96IX5,0.93,False,-0.1047
USO1,O60763,0.86,True,-0.2176
USP11,P51784,0.85,True,-0.2345
USP14,P54578,0.99,False,-0.0145
USP15,Q9Y4E8,1.01,False,0.0144
USP46,P62068,0.96,False,-0.0589
USP5,P45974,0.93,False,-0.1047
USP7,Q93009,0.92,False,-0.1203
USP9X,Q93008,0.94,False,-0.0893
UTRN,P46939,1.04,False,0.0566
VAMP2,P63027,1.02,False,0.0286
VAPA,Q9P0L0,1.0,False,0.0
VAPB,O95292,0.92,False,-0.1203
VARS,P26640,0.9,False,-0.152
VAT1,Q99536,1.06,False,0.0841
VAT1L,Q9HCJ6,1.02,False,0.0286
VBP1,P61758,0.93,False,-0.1047
VCAN,P13611,1.13,False,0.1763
VCL,P18206,1.08,False,0.111
VCP,P55072,0.97,False,-0.0439
VDAC1,P21796,0.97,False,-0.0439
VDAC2,P45880,0.96,False,-0.0589
VDAC3,Q9Y277,0.96,False,-0.0589
VGF,O15240,1.07,False,0.0976
VIM,P08670,1.23,True,0.2987
VPS13C,Q709C8,1.05,False,0.0704
VPS25,Q9BRG1,0.97,False,-0.0439
VPS29,Q9UBQ0,0.97,False,-0.0439
VPS35,Q96QK1,0.93,False,-0.1047
VPS45,Q9NRW7,0.94,False,-0.0893
VPS4A,Q9UN37,1.04,False,0.0566
VSNL1,P62760,0.98,False,-0.0291
VWA5A,O00534,1.04,False,0.0566
WARS,P23381,0.95,False,-0.074
WBP2,Q969T9,0.94,False,-0.0893
WDFY3,Q8IZQ1,0.99,False,-0.0145
WDR1,O75083,1.25,True,0.3219
WDR13,Q9H1Z4,1.14,True,0.189
WDR37,Q9Y2I8,1.01,False,0.0144
WDR47,O94967,0.95,False,-0.074
WDR7,Q9Y4E6,0.92,False,-0.1203
WFS1,O76024,1.02,False,0.0286
XPNPEP1,Q9NQW7,1.01,False,0.0144
XPO1,O14980,1.0,False,0.0
XPO4,Q9C0E2,1.01,False,0.0144
XPO7,Q9UIA9,1.0,False,0.0
XPOT,O43592,1.01,False,0.0144
XRCC5,P13010,0.98,False,-0.0291
XRCC6,P12956,1.08,False,0.111
YARS,P54577,0.96,False,-0.0589
YKT6,O15498,1.0,False,0.0
YWHAB,P31946,0.96,False,-0.0589
YWHAE,P62258,1.02,False,0.0286
YWHAG,P61981,0.88,False,-0.1844
YWHAH,Q04917,0.88,True,-0.1844
YWHAQ,P27348,1.03,False,0.0426
YWHAZ,P63104,0.95,False,-0.074
ZC2HC1A,Q96GY0,1.02,False,0.0286
